Sample_ID	Sample_barcodes_extracted	sample_desc	Sample_Type	Jar_Number	Jar_Label	Conc_class	Div_class	Plast_class	Depth_class	Sample_date	timepoint	Total_vol_extracted_ml	pore_size	Depth_m	Cnt_pieces_extracted	Extraction_Date	Plastic_colors_counts	Extraction_Group
DNA_66	MIW21-0309	plastic DNA	jar plastic	68	H-CON L-DIV FILM-DEEP_2	H-CON	L-DIV	FILM	DEEP	2021-09-01	T1	NA	NA	NA	10	2021-10-27	yellow	BB
DNA_67	MIW21-0335	plastic DNA	jar plastic	68	H-CON L-DIV FILM-DEEP_2	H-CON	L-DIV	FILM	DEEP	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_69	MIW21-0311	plastic DNA	jar plastic	69	H-CON L-DIV FILM-DEEP_3	H-CON	L-DIV	FILM	DEEP	2021-09-01	T1	NA	NA	NA	10	2021-10-27	NA	BB
DNA_7	MIW21-0134, MIW21-0137, MIW21-0144, MIW21-0153	plastic DNA	jar plastic	6	H-CON H-DIV SURF_3	H-CON	H-DIV	MIX	SURF	2021-09-01	T1	NA	NA	NA	4	2021-10-27	1 yellow 1 film 1 pink 1 blue	BB/SD
DNA_70	MIW21-0346	plastic DNA	jar plastic	69	H-CON L-DIV FILM-DEEP_3	H-CON	L-DIV	FILM	DEEP	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_72	MIW21-0095	plastic DNA	jar plastic	70	H-CON L-DIV YL-DEEP_1	H-CON	L-DIV	YL	DEEP	2021-09-01	T1	NA	NA	NA	4	2021-10-27	yellow	BB/SD
DNA_73	MIW21-0807	plastic DNA	jar plastic	70	H-CON L-DIV YL-DEEP_1	H-CON	L-DIV	YL	DEEP	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_75	MIW21-0096	plastic DNA	jar plastic	71	H-CON L-DIV YL-DEEP_2	H-CON	L-DIV	YL	DEEP	2021-09-01	T1	NA	NA	NA	4	2021-10-27	yellow	BB/SD
DNA_76	MIW21-0809	plastic DNA	jar plastic	71	H-CON L-DIV YL-DEEP_2	H-CON	L-DIV	YL	DEEP	2021-09-08	T2	NA	NA	NA	4	2021-10-27	yellow	BB
DNA_78	MIW21-0315	plastic DNA	jar plastic	72	H-CON L-DIV YL-DEEP_3	H-CON	L-DIV	YL	DEEP	2021-09-01	T1	NA	NA	NA	4	2021-10-27	yellow, but notes say these were pink!	SR
DNA_79	MIW21-0810	plastic DNA	jar plastic	72	H-CON L-DIV YL-DEEP_3	H-CON	L-DIV	YL	DEEP	2021-09-08	T2	NA	NA	NA	4	2021-10-27	yellow	BB
DNA_8	MIW21-0162	plastic DNA	jar plastic	6	H-CON H-DIV SURF_3	H-CON	H-DIV	MIX	SURF	2021-09-01	T1	NA	NA	NA	4	2021-10-27	yellow, blue, pink, film	BB
DNA_9	MIW21-0390, MIW21-0391, MIW21-0392, MIW21-0393, MIW21-0394, MIW21-0395	plastic DNA	jar plastic	6	H-CON H-DIV SURF_3	H-CON	H-DIV	MIX	SURF	2021-09-08	T2	NA	NA	NA	NA	2021-11-03	NA	AJ
DNA_10	MIW21-0386	water filter DNA	jar water	6	H-CON H-DIV SURF_3	H-CON	H-DIV	MIX	SURF	2021-09-08	T2	120 mL	0.22	NA	NA	2021-10-29	NA	AJ
DNA_11	MIW21-0849	water filter DNA	jar water	31	LAKE_WATER                    NO_PLASTIC        DEEP_1	NO_PLASTIC	NO_PLASTIC	NO_PLASTIC	DEEP	2021-09-08	T2	180 mL	0.22	NA	NA	2021-10-29	NA	AJ
